neighborhood,building_class_category,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,latitude,longitude
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,142 EAST 49TH STREET,2A,10017,,,,,,1924.0,510000.0,2023-04-10,40.755394800000005,-73.97232789481328
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,155 EAST 49TH ST,6E,10017,,,,,,1924.0,290000.0,2023-06-13,40.75565185,-73.97177385195633
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,155 EAST 49TH STREET,7G,10017,,,,,,1924.0,300000.0,2023-11-21,40.75565185,-73.97177385195633
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,155 EAST 49TH STREET,8F,10017,,,,,,1924.0,325000.0,2023-06-08,40.75565185,-73.97177385195633
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,136 EAST 56TH STREET,11B,10022,,,,,,1962.0,1125000.0,2023-03-27,40.7606018,-73.9704518
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,136 EAST 56TH STREET,4MN,10022,,,,,,1962.0,1175000.0,2024-01-16,40.7606018,-73.9704518
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,136 EAST 56TH STREET,7C,10022,,,,,,1962.0,730000.0,2023-05-11,40.7606018,-73.9704518
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,136 EAST 56TH STREET,7K,10022,,,,,,1962.0,375000.0,2023-04-26,40.7606018,-73.9704518
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,110 EAST 57TH STREET,20B,10022,,,,,,1957.0,900000.0,2023-10-24,40.7611158,-73.9699903
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,110 EAST 57TH STREET,5B,10022,,,,,,1957.0,410000.0,2023-09-18,40.7611158,-73.9699903
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,110 EAST 57TH STREET,5F,10022,,,,,,1957.0,640000.0,2024-02-23,40.7611158,-73.9699903
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,110 EAST 57TH STREET,9H,10022,,,,,,1957.0,560000.0,2023-08-16,40.7611158,-73.9699903
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,153 EAST 57TH ST,6B,10022,,,,,,1960.0,465000.0,2023-07-25,40.760786100000004,-73.9680493570703
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,153 EAST 57TH STREET,10G,10022,,,,,,1960.0,431375.0,2024-02-26,40.760786100000004,-73.9680493570703
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,153 EAST 57TH STREET,15B,10022,,,,,,1960.0,515000.0,2023-03-23,40.760786100000004,-73.9680493570703
